"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"767557,905689","1726816,458804","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"37640,767500","87960,723080","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"446785,020862","1052326,166875","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"971,739195","2256,721595","MB/sec",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"186,575004","137,691567","B/op",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"942,680231","2230,799384","MB/sec",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"211,865420","318,697044","B/op",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"45,371427","230,605006","MB/sec",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"37,997699","146,077987","B/op",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"11,000000",NaN,"counts",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"20056,000000",NaN,"ms",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"5335650,581601","4983138,254274","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2970378,172960","3065815,279139","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"51046,459847","56752,753876","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2258814,038643","2224686,592956","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"3751,385226","8762,316627","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"51660,524925","52985,810788","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"3783,887351","2627,870034","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"742,251609","264,063727","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Compressed_Class_Space","thrpt",40,6,"0,001093","0,007507","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Compressed_Class_Space.norm","thrpt",40,6,"0,000394","0,002703","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Metaspace","thrpt",40,6,"0,003175","0,021812","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Metaspace.norm","thrpt",40,6,"0,001143","0,007853","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"3887,936670","2758,241161","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"760,515328","246,345590","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"2,231300","7,011123","MB/sec",Cas,10
